run,task,trajectory,success,length,revisit_fraction,invalid_fraction,conflict_fraction,future_abs
M10,cf3d30e3-e2f1-410d-a1a3-0a504e989dd8,dd8b595d-6e7c-4487-8590-c32d74feca74,True,5,0.0,0.0,0.4,0.49810664492739143
M10,cf3d30e3-e2f1-410d-a1a3-0a504e989dd8,e46a5f9e-bae2-4bbe-8061-d655d0fe57a1,True,6,0.16666666666666666,0.0,0.3333333333333333,0.7021890435704822
M10,d74ca3ec-e2ea-491d-9013-bd41ffb83ef1,385c25a4-a281-4576-b360-e65389a0ba8b,True,11,0.09090909090909091,0.0,0.45454545454545453,0.5069490415040045
M10,d74ca3ec-e2ea-491d-9013-bd41ffb83ef1,39c5031f-a551-46c8-a9d5-fb517ee78a0c,True,30,0.4,0.0,0.3333333333333333,0.30219055996523725
M10,d74ca3ec-e2ea-491d-9013-bd41ffb83ef1,6152412f-e617-46e5-b223-45c5525da742,True,11,0.09090909090909091,0.0,0.6363636363636364,0.10037509607424494
M10,d74ca3ec-e2ea-491d-9013-bd41ffb83ef1,97697659-d41f-41fc-8ab2-0f72ca3cb3f0,True,11,0.09090909090909091,0.0,0.6363636363636364,0.10037509607424494
M10,d74ca3ec-e2ea-491d-9013-bd41ffb83ef1,b57d5bcc-2928-4ec4-9b22-fcf1bb93eff3,True,11,0.0,0.0,0.45454545454545453,0.19538702406002875
M10,d74ca3ec-e2ea-491d-9013-bd41ffb83ef1,bbd91a94-64f8-4cb1-ae7f-348d41ae76db,True,45,0.5333333333333333,0.0,0.35555555555555557,0.17175978392979996
M10,d74ca3ec-e2ea-491d-9013-bd41ffb83ef1,d12b42ad-17e7-4bcf-af41-ab88483efd3d,True,11,0.0,0.0,0.36363636363636365,0.2720179090283319
M10,d74ca3ec-e2ea-491d-9013-bd41ffb83ef1,f84ffe61-012c-4859-a829-e2643fcbbf7e,True,10,0.0,0.0,0.3,0.3002705084257121
M10,d9089300-fc88-4a98-b929-f7daee0c6c7b,0e7c688b-518f-4b42-b0cb-49b18c3f483b,True,3,0.0,0.0,0.3333333333333333,0.5849894494894442
M10,d9089300-fc88-4a98-b929-f7daee0c6c7b,218f2099-817c-4261-9adb-b06ddcb6f556,True,3,0.0,0.0,0.3333333333333333,0.5849894494894442
M10,d9089300-fc88-4a98-b929-f7daee0c6c7b,6639cdd3-2cc4-4987-bd51-db8cc981c058,True,3,0.0,0.0,0.3333333333333333,0.5849894494894442
M10,d9089300-fc88-4a98-b929-f7daee0c6c7b,6d40db03-b036-4ace-9c33-ed422f82c2be,True,4,0.0,0.0,0.5,0.7332597847113462
M10,d9089300-fc88-4a98-b929-f7daee0c6c7b,81adac06-4b47-4da4-95ec-4f7eeffd0753,True,3,0.0,0.0,0.3333333333333333,0.5849894494894442
M10,d9089300-fc88-4a98-b929-f7daee0c6c7b,9552fa73-61b7-4984-a30c-50a72287ee9b,True,3,0.0,0.0,0.3333333333333333,0.5849894494894442
M10,d9089300-fc88-4a98-b929-f7daee0c6c7b,ad9c1224-1388-493d-aac2-78a1918d07e8,True,3,0.0,0.0,0.3333333333333333,0.5849894494894442
M10,d9089300-fc88-4a98-b929-f7daee0c6c7b,d56148a6-efa7-4d07-9ec3-a10544e5a06a,True,6,0.0,0.0,0.0,0.8256270858311697
M10,daad2018-25fb-42cd-964c-51c24ec6806a,2a149fc7-5362-43ec-b65f-46225890a305,True,7,0.0,0.0,0.14285714285714285,0.24890045588537804
M10,daad2018-25fb-42cd-964c-51c24ec6806a,3173687a-dd3a-4f0f-9d49-9ffd446744ee,True,39,0.41025641025641024,0.0,0.358974358974359,0.20454461042967034
M10,daad2018-25fb-42cd-964c-51c24ec6806a,ba21becc-7d33-4f60-9784-03902c8fb513,True,12,0.08333333333333333,0.0,0.5,0.2562286327748845
M10,daad2018-25fb-42cd-964c-51c24ec6806a,be591440-a7dc-495b-be9e-588ee32883ce,True,19,0.15789473684210525,0.0,0.21052631578947367,0.38269810931970916
M10,daad2018-25fb-42cd-964c-51c24ec6806a,c2e4f477-28fe-4304-816c-d7a8b0289f6e,True,9,0.1111111111111111,0.0,0.3333333333333333,0.28844573778432214
M10,daad2018-25fb-42cd-964c-51c24ec6806a,e169a4e3-a783-41de-bba2-83979661a078,True,18,0.2777777777777778,0.0,0.5,0.2796023982296435
M10,daad2018-25fb-42cd-964c-51c24ec6806a,fc47a23b-9ddc-4908-a546-a8d37fc4fe3f,True,28,0.2857142857142857,0.0,0.39285714285714285,0.33575510803384917
M10,daad2018-25fb-42cd-964c-51c24ec6806a,fd697061-1f85-4430-bf92-6521cb670462,True,18,0.3333333333333333,0.0,0.3888888888888889,0.26551770748252246
M10,e09c7853-7b6a-4cd4-9518-8b9fa6c27c13,31662cc2-717b-403b-a884-4139194ee9ad,True,15,0.13333333333333333,0.0,0.26666666666666666,0.30640519279891903
M10,e09c7853-7b6a-4cd4-9518-8b9fa6c27c13,7ae99279-14b5-44d9-a2e2-dd05bc6d4b9c,True,38,0.5263157894736842,0.0,0.2894736842105263,0.2591056866235352
M10,e09c7853-7b6a-4cd4-9518-8b9fa6c27c13,9db84066-ad4b-41c1-9635-16c89d7127d9,True,20,0.25,0.0,0.3,0.3151063691432879
M10,e09c7853-7b6a-4cd4-9518-8b9fa6c27c13,a3acb3ee-aabe-40f1-9c14-090bbffa4235,True,9,0.0,0.0,0.5555555555555556,0.441819989746868
M10,e09c7853-7b6a-4cd4-9518-8b9fa6c27c13,c443664b-b8bc-43fd-b54a-f656e7f16814,True,20,0.2,0.0,0.35,0.25035540768201886
M10,e09c7853-7b6a-4cd4-9518-8b9fa6c27c13,cb92727c-4990-47b6-8271-17d4a8548381,True,40,0.45,0.025,0.4,0.2656385021219461
M10,e09c7853-7b6a-4cd4-9518-8b9fa6c27c13,e100baee-c588-43db-ab13-8461c40212b7,True,16,0.1875,0.0,0.375,0.23609534519147657
M10,e09c7853-7b6a-4cd4-9518-8b9fa6c27c13,ebff7727-4309-4db7-b4d7-11beae80f72f,True,16,0.1875,0.0,0.5,0.2463320522938427
M11,07459ab2-eef3-4813-bc53-8a20764dc21a,128e0456-1deb-4a38-8318-dcfe971c9ca5,False,5,0.4,0.0,0.0,0.16864228252561628
M11,07459ab2-eef3-4813-bc53-8a20764dc21a,36cf21b8-32ec-4a79-b3c9-75fb2cd661fa,False,5,0.4,0.0,0.0,0.16864228252561628
M11,07459ab2-eef3-4813-bc53-8a20764dc21a,5734efde-c5ce-4db3-a0a6-d922b2ec3530,False,5,0.4,0.0,0.0,0.16864228252561628
M11,07459ab2-eef3-4813-bc53-8a20764dc21a,708cffad-0b86-46eb-9ad0-e676023405c6,True,5,0.4,0.0,0.8,1.2307017535095683
M11,07459ab2-eef3-4813-bc53-8a20764dc21a,8534a0b6-b10b-4a79-a8a1-409c42773df1,False,5,0.4,0.0,0.0,0.16864228252561628
M11,07459ab2-eef3-4813-bc53-8a20764dc21a,9a389ab7-c9c7-4bd3-a3b2-6ad319c6d767,False,5,0.4,0.0,0.0,0.16864228252561628
M11,07459ab2-eef3-4813-bc53-8a20764dc21a,efc91f17-3a20-497b-9b46-6bcce31acafd,False,5,0.4,0.2,0.2,0.2760843845690664
M11,07459ab2-eef3-4813-bc53-8a20764dc21a,f10e6a2d-cd25-4d12-8a41-fbbe7c3db98e,False,5,0.4,0.0,0.0,0.16864228252561628
M11,139070db-45f2-4a36-80d2-3892d3c33088,04abae58-a36d-4774-b728-7e074791177f,True,5,0.4,0.0,0.2,0.8544409166767757
M11,139070db-45f2-4a36-80d2-3892d3c33088,11da9a02-d193-4a09-85aa-156cba03569a,True,5,0.4,0.0,0.2,0.7351899228799466
M11,139070db-45f2-4a36-80d2-3892d3c33088,5c84d503-5b41-42ca-bf5d-1d94577953e0,True,5,0.4,0.0,0.4,0.775900608339097
M11,139070db-45f2-4a36-80d2-3892d3c33088,6bf0a5fc-42c6-4656-ba48-17bc31b66138,True,5,0.4,0.0,0.4,0.7551788263268382
M11,139070db-45f2-4a36-80d2-3892d3c33088,ac6e55de-db8e-4a03-88f6-f6b4fa6d20a2,True,5,0.4,0.0,0.2,0.7351577523825796
M11,139070db-45f2-4a36-80d2-3892d3c33088,c4d50bba-2ee8-49d7-9ed8-bb5849aff5b5,True,5,0.4,0.0,0.2,0.7352155206278127
M11,139070db-45f2-4a36-80d2-3892d3c33088,d1657d78-b9d6-4f5e-bb48-2544f292b41e,True,5,0.4,0.0,0.2,0.7352044531212798
M11,139070db-45f2-4a36-80d2-3892d3c33088,e1803cfe-f6a6-48dc-a21c-5ed64d5dd421,True,5,0.4,0.0,0.2,0.7353278933031189
M11,14d40ab4-c673-47b6-95ed-f55b7a5089a8,024f09f4-6e1b-4103-930b-d083f3f92536,True,6,0.5,0.0,0.3333333333333333,0.6851912359760473
M11,14d40ab4-c673-47b6-95ed-f55b7a5089a8,0c4f1671-575a-41b6-bac4-ccad82e2d7e5,True,5,0.4,0.0,0.0,0.1355347044689296
M11,14d40ab4-c673-47b6-95ed-f55b7a5089a8,0e36f4f7-19d5-4e15-a1d4-ac4438d75fe7,True,5,0.4,0.0,0.0,0.1355347044689296
M11,14d40ab4-c673-47b6-95ed-f55b7a5089a8,104cefa8-9b7e-46e4-8b85-3f12e675c722,True,5,0.4,0.0,0.4,0.2032903452108044
M11,14d40ab4-c673-47b6-95ed-f55b7a5089a8,172641bc-47b7-438d-b1b9-138c41f784e8,True,5,0.4,0.0,0.4,0.205333644773452
M11,14d40ab4-c673-47b6-95ed-f55b7a5089a8,25785d4c-9351-4aef-86d4-6ad91bd78543,True,5,0.4,0.0,0.4,0.21434019173017474
M11,14d40ab4-c673-47b6-95ed-f55b7a5089a8,2d34f333-6e9b-4a69-8505-042d6c789b89,True,5,0.4,0.0,0.4,0.19601094635945254
M11,14d40ab4-c673-47b6-95ed-f55b7a5089a8,650bbfe6-fa1a-40fd-805b-0c069bf2c07b,False,6,0.5,0.0,0.16666666666666666,1.7222831539978778
M11,31ddbffd-d62e-438d-ab13-b0e4fc0860aa,3b6d3097-0df8-4719-8d45-98feefd11ffd,False,5,0.4,0.0,0.6,1.193082081692339
M11,31ddbffd-d62e-438d-ab13-b0e4fc0860aa,53a58334-9b6b-43e6-b104-6cbfcee193b3,True,5,0.4,0.0,0.2,0.4918013857690552
M11,31ddbffd-d62e-438d-ab13-b0e4fc0860aa,594cf51e-9d5a-4e59-a269-30f1c616f36e,True,5,0.4,0.0,0.2,0.43130111340089117
M11,31ddbffd-d62e-438d-ab13-b0e4fc0860aa,96259b43-0ece-47fd-9da7-19aed904de76,True,5,0.4,0.0,0.2,0.6215015366890594
M11,31ddbffd-d62e-438d-ab13-b0e4fc0860aa,9bb7bef2-7786-4e45-85ca-b0c44ecefea4,False,5,0.4,0.0,0.0,0.6640576960010447
M11,31ddbffd-d62e-438d-ab13-b0e4fc0860aa,b09518d7-271c-4749-a2bb-c0c57ec6dbc4,False,5,0.4,0.0,0.0,0.6640576960010447
M11,31ddbffd-d62e-438d-ab13-b0e4fc0860aa,c37aa912-481c-4a8d-869e-aba242020697,True,5,0.4,0.0,0.2,0.5478380440091234
M11,31ddbffd-d62e-438d-ab13-b0e4fc0860aa,d42b671b-ef2b-4c01-b6d3-cddf395968b5,True,5,0.4,0.0,0.4,0.6238891433040117
M11,51a9461e-d275-45e3-80e4-0317c8f027d3,04b30b65-5529-4b31-a108-ae7e594ae160,False,5,0.4,0.0,0.0,0.0
