run,target,subset,variant,rows,tasks,mse,delta_mse_vs_context,delta_ci_low,delta_ci_high
M11,Y,exact_first_visit,context_full,293,16,6.673984471889719,-0.4610106451098566,-0.8244055446958727,-0.15713083121151786
M11,Y,exact_first_visit,context_fixed05,293,16,7.174657834175875,0.03966271717629874,-0.17892884124987063,0.2518528319902748
M11,Y,task_fallback,context_k2,111,15,12.528204198716383,0.0,0.0,0.0
M11,Y,task_fallback,hidden_only_k2,111,15,12.55679355585981,0.02858935714343341,-0.3455168432594053,0.4307174549409984
M11,Y,task_fallback,uniform_k2,111,15,13.12796099508799,0.5997567963716094,-0.3595331915834036,1.9822985584064379
M11,Y,task_fallback,context_k4,111,15,12.528204198716383,0.0,0.0,0.0
M11,Y,task_fallback,context_full,111,15,12.528204198716383,0.0,0.0,0.0
M11,Y,task_fallback,context_fixed05,111,15,12.528204198716383,0.0,0.0,0.0
M11,Z,all,context_k2,691,16,6.867641096175943,0.0,0.0,0.0
M11,Z,all,hidden_only_k2,691,16,6.944772958261169,0.07713186208522604,-0.11038246934309927,0.2916259755574712
M11,Z,all,uniform_k2,691,16,7.195313299887095,0.32767220371115297,-0.03770604794590272,0.7343810772672121
M11,Z,all,context_k4,691,16,7.203434294278757,0.3357931981028137,0.12343394248577866,0.5837992910154105
M11,Z,all,context_full,691,16,6.427413759295526,-0.44022733688041615,-0.8760739028092209,-0.07856785950161946
M11,Z,all,context_fixed05,691,16,6.920514695871285,0.052873599695343144,-0.1352585569905645,0.2312356245899509
M11,Z,exact,context_k2,580,16,6.232475878454852,0.0,0.0,0.0
M11,Z,exact,hidden_only_k2,580,16,6.358100820032201,0.1256249415773495,-0.029736371585906578,0.3351534069952585
M11,Z,exact,uniform_k2,580,16,6.623202416309605,0.3907265378547525,0.12555440965942266,0.7341433386848886
M11,Z,exact,context_k4,580,16,6.69066221137404,0.45818633291918687,0.17543425947748645,0.7771582260210177
M11,Z,exact,context_full,580,16,5.606469729300296,-0.6260061491545557,-1.1839934816986615,-0.17279136492095443
M11,Z,exact,context_fixed05,580,16,6.374038655265719,0.14156277681086774,-0.13439995486908465,0.42716050307876824
M11,Z,exact_revisit,context_k2,287,16,4.148148847911732,0.0,0.0,0.0
M11,Z,exact_revisit,hidden_only_k2,287,16,4.337795282187269,0.18964643427553704,-0.056021782030987545,0.5157159791107176
M11,Z,exact_revisit,uniform_k2,287,16,4.910594200777254,0.7624453528655217,0.2833360136033765,1.3154663724269486
M11,Z,exact_revisit,context_k4,287,16,4.749587757347385,0.6014389094356529,0.2151869127709622,1.0453709094911294
